-1,-0.04,-0.05,0.12,-0.04
-0.19,-1,-0.36,-0.33,-0.21
-0.47,-0.58,-1,-0.28,-0.08
-0.19,-0.3,-0.31,-1,-0.32
-0.22,-0.01,-0.04,-0.07,-1
